thread_id,space_sw
686813805.0,太爱 计较 公主 激动 正常 在乎 非正常 人类 研究 中心 言论 提出 和谐 非正常 人类 研究 中心 言论 提出抗议 回复 研究 大叔 开刀 牢骚 发完 回复 熊猫 妹妹 国宝 妹妹 保护 发贴 好闷 回复 大叔 准备 开刀 不用 一起 沉默 摸摸头 亲人 亲人 话语 伤人 在乎
726624269.0,秘密 发明 没人会 骗人 没什么 骗人 告诉 别人 我要 国家专利 以后 告诉 别人 发财 回复 唱歌 唱歌 机会 唱歌 http www player play jsp musicId single 唱歌 回复 点歌 想想 庾澄庆 情非得已 流星雨 回到 耐心 Gay 哥唱 回复 过奖 声音 技术 不行 马马虎虎 好听 这天 不知 情绪 异常 低落 说话 下次 记得 非得 回复 情绪低落 推荐 电影吧 不用 说话 嘻嘻 Gay 方法 假死 聪明 跳楼 无痛苦 立刻 摔得 脑浆 迸出来 痛苦 GAY 爆菊而亡 一针 容易 觉得 死亡 就要 血腥 惨烈 回复 楼上 泰国 泰国 回复 红衫 对楼 充满 强烈 爱意 陡然 增多 觉得 itsy 卖关子
730503557.0,半个 多月 基本 感觉 时期 考试 结束 剩下 论文 感觉 轻松 上帝 消除 心中 恐惧 GOD bless 半个 药效 正常 继续 刚刚 情绪 不好 直接 十二片
900874849.0,简单 道理 早就 明白 中国 明白 中国 道德观 官方 定好 老百姓 说了算 官方 媒体 说了算 中国 懒得 思考 思考 没用 思想 传播 媒体 全由 ZF 控制 ZF 便于 统治 愚民 大行其道 老百姓 长着 大脑 智慧 闪光 中国 无头 顶楼 难得一见 好文 灰心 改变 中国 改变 世界 有意 同道 有识之士 起鹅
915776119.0,双向 情感 障碍 过来 大家 医生 中药 终身 服药 断药 容易 复发 大家 本病 躁狂 忧郁 反复 发作 交替 特征 精神病 主要 特征 情感 障碍 故又称 情感性 精神病 发作 双向性 亦可 单向性 躁狂症 特征 兴奋 激动 乐观 情感 高张 抑郁 恰恰 极端 特点 忧郁 悲观 沉静 情感 低落 二者 交替 发病 该病 又称 循环性 精神病 全程 躁狂 为主 忧郁 阶段 化悲 阶段 转喜 本病 情感 低落 思维 迟缓 运动 抑制 三大 特征 躁狂 抑郁 交替 发病 躁狂 先兆 病情 性格 循环 特点 兴奋 性病 性格 抑制 性病 性格 交替 早期 先兆 本病 失眠 头痛 烦躁 兴奋 激动 原因 持续性 高涨 兴奋 激动 先兆 典型 征兆 原因 持续 兴奋 躁动 活跃 乐观 典型 征兆 情感 高张 思维 奔逸 意志 增强 三主征 幻觉 妄想 本能 亢进 食欲 性欲 抑郁 先兆 早期 先兆 重大 原因 进行性 忧抑 悲伤 孤癖 消极 迟顿 该病 早期 先兆 症状 典型 征兆 忧郁 悲伤 发展 悲观失望 消极 低落 自罪 妄想 自杀 木僵 情感 低落 思维 迟缓 意志 减退 主症 双向 情感 障碍 诊断 标准 躁狂 发作 患者 心境 高扬 所处 境遇 不相称 兴高采烈 激惹 激越 发生 意识 障碍 严重者 出现 心境 协调 协调 妄想 幻觉 精神病 症状 躁狂 发作 诊断 标准 症状 标准 情绪高涨 或易 激惹 主要 特征 症状 持续 至少 心境 高扬 至少 下述 症状 三项 言语 平时 增多 联想 加快 观念 飘忽 自感 言语 跟不上 思维 活动 速度 注意力 集中 随境 转移 自我 评价 过高 妄想 程度 自我感觉 良好 如感 头脑 特别 灵活 身体 特别 健康 精力 特别 充沛 睡眠 需要 减少 不感 疲乏 活动 增多 精神 运动 性兴奋 行为 轻率 追求 享乐 不顾后果 具有 冒险性 性欲 明显 亢进 严重 程度 标准 至少 下述 情况 工作 学习 家务劳动 能力 受损 社交能力 受损 别人 造成 危险 不良后果 排除 标准 符合 器质性 精神障碍 躯体 疾病 精神 活性 物质 依赖性 物质 所致 精神障碍 存在 分裂性 症状 符合 精神分裂症 诊断 标准 符合 精神分裂症 症状 诊断 标准 鉴别 诊断 参考 分裂 情感性 精神病 诊断 标准 抑郁 发作 患者 心境 低落 所处 境遇 不相称 闷闷不乐 悲痛欲绝 发生 木僵 状态 严重者 出现 妄想 幻觉 精神病 症状 病例 焦虑 运动性 激越 抑郁 更为 抑郁 发作 诊断 标准 症状 标准 心境 低落 主要 特征 持续 至少 二周 在此期间 至少 下述 症状 四项 日常 活动 丧失 兴趣 愉快 精力 明显 减退 原因 持续 疲乏 精神 运动性 迟滞 激越 自我 评价 过低 自责 内疚感 妄想 程度 联想 困难 自觉 思考 能力 下降 反复 出现 念头 自杀 行为 失眠 早醒 睡眠 过多 食欲不振 体重 明显 减轻 性欲 明显 减退 严重 程度 标准 精神障碍 至少 造成 下述 情况 社会 功能 受损 本人 造成 痛苦 不良后果 大家 效果 参考 顺便 大家 中药 治疗 效果 治好 吃药 肯定 不行 科学 心理 疗法 怀疑 症状 买药 心情 反复 交替 奥氮 平片 巴金 病人 需要 终生 服药 病人 病情 好转 一段时间 停药 容易 再次 复发 听从 医生 建议 减药 停药 切记 吃药 副作用 建议 心理治疗 卡马西平 效果 头晕眼花 四肢无力 戊酸 喹硫平 不想 这病 喜欢 觉得 喜欢 必须 喜欢 每天 打电话 威胁 不想 事情 闹大
923041375.0,教堂 溜达 一圈 小妹妹 小册子 上边 耶稣 复活 宇宙 唯一 完后 回头 一眼 竟然 坐到 面前 宣传 心中 耶稣 多么 伟大 告诉 万恶 人类 接受 耶稣 真理 重生 老子 无奈 耶稣 严肃 告诉 耶稣 耶稣 假设 耶稣 不爱 斩钉截铁 假设 成立 耶稣 全人类 沉默 博爱 拯救 万恶 罪孽 激动 罗嗦 半天 坐在 睡着 起身 老妹 送给 一大堆 祝福 犹豫 心中 暗想 实践证明 真理 白痴 眼中 变得 愚蠢 智慧 永远 属于 少数 高雅 教堂 中间 倾听 教父 虔诚 感受 身边 自我 救赎 信仰者 坐在 一座 庙堂 内心 依然 相聚 遥远 耶稣 无法 孤独 闭上 双眼 感应 教堂 灿烂 蔚蓝 天空 闭住 呼吸 倾听 世界 角落 身在 人群 之中 变得 更加 孤独 愿意 坦诚 倾诉 心中 迷茫 眼神 谎言 美妙 催眠 自大 人类 信仰 观点 最终 精神 鸦片 相信 自大 疯狂 人类 生命 尊严 重视 需要 上帝 坐在 教堂 之中 体验 虔诚 祝福 内心深处 依然 无意识 洞察 信仰者 内心深处 秘密 静静地 坐在 平和 安静 享受 和谐 美妙 气氛 痛苦 妹妹 很棒 可爱 妹妹 保守 十年 犯了罪 得罪 神对 标准 耶稣 看见 妇女 动淫念 奸淫 而神 绝对 公义 圣洁 最终 审判 罪人 罪人 送到 地狱 承担 永远 痛苦 得救 享受 以神 为乐 天堂 永恒 幸福 主耶稣 这位 由圣 灵感 处女 罪人 钉死 十字架 承担 罪人 刑罚 三天 复活 耶稣 所受 刑罚 人得 平安 一切都是 白白的 耶稣 白白 罪人 牺牲生命 福音 相信 福音 信靠 主耶稣 真有 耶稣 三清 佛祖 存在 觉得 耶稣 再临 华夏 捏死 蝼蚁 山海经 大多 杜撰 真实 存在 东西 中国 东西 了解 了解 历史 不好 非要 信仰 莫须有 西方 瘪三 犹太人 聪明 骨子里 邪恶 创造 胡写 东西 妄图 精神 世界 控制 正好 作风 醒醒 孩子 逾期 掏钱 浪费时间 供奉 瘪三 研究 研究 外星人
1233548444.0,眼中 tc 不语 谈论 谈论 做梦 中国 亿人 基本国情 问题 解决 冲浪 三鹿 奶粉 中国 校车 装甲车 级别 难道 孩子 饿着肚子 身子 坐车 安全 抵达 学校 三鹿 质监局 问题 转基因 药家鑫 纯粹 网民 逼死 法律 有钱人 准备 天一 抱怨 网带 思考 大跃进 证实 实事求是 转基因 问题 祸害 千秋万代 国才 转基因 美国 率先 商业化 国家 基础 粮食 使用 商业化 转基因 BT 全世界 中国 美国 孟山都 公司 从中 获益 重要 转基因 粮食 安全性 问题 改变 人体 基因 构成 尚无 定论 祸害 子孙万代 事情 美国 转基因 产物 牲口 转基因 战争 将来 孙子 抵抗能力 连枪 不动 民族 实事求是 英超 自我 超越 问题 解决 世界 超人 问题 轻松 解决 幼稚 我害 绞尽脑汁 中国 一群 装比汉 社会 最底层 利益 不断 侵害 始终 有着 统治阶级 愚民 中国 一群 装比汉 社会 最底层 利益 不断 侵害 始终 有着 统治阶级 愚民 继续 讨论 洛基 学生 大规模 shi 出现 小规模 shi 北大清华 学生 代表 清楚 至少 比烂 世界 我国 不算 最烂 比较 贴子 奇怪 出现 一页 内容 一辈子 房子 隔音 楼上 说话 楼下 你家 厕所 换个 顶楼 电梯 隆隆响 租房 邻居 说三道四 上学 欺负 没人管 有钱人 显摆 房子 车鞋 学习 压力 忍受 老师 无端 辱骂 国家 人渣 一分钱一 份力 不出 贬低 欧巴桑 外边 小孩 撒气 啧啧 生活 倒霉
1239982836.0,喜欢 喜欢 别人 PP 喜欢 别人 PP 小时候 喜欢 喜欢 喜欢 脱臼 喜欢
1526385905.0,爱护 环境 随地 垃圾 满目疮痍 毫无 欢乐 最起码 真诚 城里人 总是 装逼 农村 高兴 农村 动手 丰衣足食 农村 路过 不语 比较 讨厌 农村 讨厌 文化 素质 中国 农村 人口 城里人 照镜子 说话 能奈 农村 后代 祖上 农村 问题 辩证 农村 全部都是 恶心 确实 百分之二 比例 确实 心里 佩服 确实 农村 身边 农村 生活 城市 子女 身上 自私 情商 没见识 形象 代言 活在 城市 恶心 言行 尽量 打交道 现象 解决不了 蚊子 苍蝇 没用 比喻 不太好 实在 想不出 足够 上层 接触 眼不见 心不烦 你家 往上 农村 祖先 猴子 祖先 单细胞 生物 说话 答题 说话 没人 脑瘫 事实 经济 基础 现象 比较 长期 存在 素质 问题 城市 机场 座位 农村 人用 包占个 座位 我要 谎称 甩个 脸色 直到 安检 看到 高贵 外放 抖音 听得见
1538466297.0,学校 我待 抑郁 庆幸 马上 校门 病情 居然 奇迹 好转
1662890225.0,作者 益西 彭措 堪布 邪淫 意乐 意乐 动机 意思 编者 觉得 心里 想一想 实际上 邪念 一动 罪业 感应 例证 贵溪 有位 书生 不吝 十五岁 入学 才学 出众 屡次 考试 一生 没作 恶事 潦倒 张真人 代写 一篇 表章 天榜 这位 张真人 上天 天门 听神 这人本 应有 功名 婶子 私通 功名 削去 真人 回来 告诉 此事 写文 申辩 批复 虽无其事 实有 其心 宋生 惭愧 后悔莫及 年轻 时见 婶子 貌美 偶尔 动过 一念 邪心 徐信善 杨宏是 同窗好友 一道 赶考 一家 旅店 当中 遇到 看相 高僧 杨宏 将来 会大贵 徐信善 贫穷 当晚 杨宏 偶然 看见 旅店 少女 很漂亮 银两 去向 少女 求欢 徐信善 严肃 劝阻 高僧 徐信善 惊讶 地说 何以 一夜之间 忽然 生出 阴骘 换贱 相为 贵相 今后 享大 富贵 杨宏 气色 徐都会 富贵 名次 后面 发榜 果然如此 公案 看出 淫心 报应 业果 正见 公案 不吝 构成 邪淫 事实 造下 意业 意业 增福 消福 所作 落空 无法 成立 世上 作用 实际 表明 淫心 消福 不吝 本来 福薄 邪淫 功名 消尽 第二个 公案 显示 凡是 有念 必在 罪福 之中 恶念 善念 徐生 一念止 贫贱 富贵 杨生 一念 邪淫 富贵 贫贱 决定 之理 一夜之间 两人 面相 改变 人心 大体 高僧 明眼人 一看 清楚 认为 心动 相续 影响 影响 这是业 增长 广大 之理 当中 无数 念头 念念 福德上 加减乘除 懂得 念念 调整 善心 极为重要 佛说 未曾 因缘 夫人 祸福 随心 心念 善故 受报 心念 恶故 恶果 心念 苦乐 报亦尔 如人 饿死 饿鬼 苦恼 死者 苦恼 欢喜 死者 欢喜 安隐 快乐 果报 亦尔 今云何 苦恼 求欲灭 善报 幸可 不须 于理 不通 邪淫 国家 法律 社会 道德 承认 男女关系 称为 邪淫 偷吃 禁果 未婚同居 一夜情 嫖娼 婚外情 意淫 同性恋 夫妻 正淫 应有 时间 地点 因缘 限制 不可 放纵 算命先生 三十岁 当官 二十九岁 安乐死 邪淫 尊重 践踏 福德 正气 善神 护法 之厌 邪淫 果报 惨烈 现世 即感 倒霉 运气 钱财 欺负 卑贱 家庭不和 婚姻 不顺 工作 不顺 精神恍惚 自卑 恐惧 恶疾 死亡 苦恶 命运 真切 忏悔 命终 投身 畜生 地狱 重新做人 普劝 有志于 追求 幸福美满 人们 力戒 邪淫 劝勉 身边 有缘人 力戒 邪淫 以期 福德 具足 婚姻 美满 家庭和睦 社会 和谐 天下 家庭 幸福 和睦 天下人 认识 邪淫 危害 远离 断除 邪淫 身心 清净 安乐 吉祥 邪淫 果报 惨烈 要灭 邪淫 罪业 最好 方法 力戒 邪淫 积极 努力 宣扬 邪淫 印送 邪淫 书籍 劝勉 有缘人 邪淫 灭罪 幸福 歪门邪道 早死 超生 YOU
2062048092.0,没上 终于 领悟 暗示 最好 疗法 很少 坚持 坚持 催眠 开朗 开朗
