portrait,topic
tb.1.2956ca61.X9rY02UrbvIZ6d0HPugnlA,"(0.09287257500453223, 0.25738421138002093, 0.428437755177918, 0.14684634275177355, 0.046052534254694924, 0.028406581431060576)"
tb.1.29a875c3.Wj_Xsn3QWO-iwmc5tfQseA,"(0.02187251767818209, 2.2664691499815625e-05, 0.09378787886810586, 0.28381481994230306, 0.6004437167912797, 5.8402028629467565e-05)"
tb.1.29d79c93.OHYjp_TnUx-ITheVHcYt8Q,"(0.00020268549086788874, 8.781699759852203e-05, 6.533236033607068e-05, 0.00016337373409630742, 0.9991862030168419, 0.00029458840025945663)"
tb.1.29e1c898.tnk9cyk47cqWKj2jDW4-RA,"(0.10314415029243909, 0.2170494456975857, 0.23356442268079428, 0.2894488880418642, 0.12550975893047617, 0.0312833343568405)"
tb.1.2b5badf4.w3ZbziFmn5dBttkGgv2mQA,"(1.5412336741176163e-05, 0.06685343954240666, 0.018969955369348018, 0.9032786397424565, 0.01088255185247777, 1.156569874499195e-09)"
tb.1.2bd54522.y5PFbtm6yP-hAtazHLLHIQ,"(0.16579217315637376, 0.18696999226611055, 0.25609036380549044, 0.2470305005800898, 0.031217297094193804, 0.11289967309774158)"
tb.1.2c24d034.dI0qJI3aUrAonPU5Lp6CMw,"(1.5837476430852635e-06, 0.32667129122668304, 6.933610185957629e-05, 0.6161784539742484, 0.01743851701941644, 0.039640817930149445)"
tb.1.2d72a4c3.axrIylMbDFxNmPaXjl1iNg,"(0.5659202279726441, 0.0020412893249340163, 0.05948782154972132, 0.3147816405266935, 0.05385055472065954, 0.003918465905347512)"
tb.1.2e2a2468.vsqt7dQ1FMAOw1k5NJvTog,"(0.16926254189728163, 0.06564906408726394, 0.2875974554420149, 0.09561211329160728, 0.3435348882197661, 0.03834393706206605)"
tb.1.305cec69.A2QTx4zp14U2HermlecKKA,"(0.32150532545290644, 7.535620503439735e-08, 0.6784525474892761, 4.18648837629152e-05, 8.352661144768955e-08, 1.032912381274228e-07)"
tb.1.30f678f2.9NBuF11ZgV4mEuiVw8pf6g,"(0.10458391007037054, 0.03803835709153874, 0.03139610974805403, 0.21082062877962088, 0.4828849183383804, 0.13227607597203536)"
tb.1.312f881.PjAHmhlyLvJAUnhdiGYTWg,"(0.03985124187894227, 0.15965405525859003, 0.07224893573686053, 0.47236279377514073, 0.051049991468394694, 0.20483298188207175)"
tb.1.31a51eb4.8V8M1j9vIA_NKrRcFyo_dQ,"(0.02517028927786651, 0.002380510942339729, 0.034255213101038406, 0.45795942422970604, 0.4802288623732791, 5.700075770170962e-06)"
tb.1.31b68e49.mSLxTLPg_WZtS7RNJaCvkw,"(0.5001773477034211, 0.010426424270553295, 0.01870394009343485, 0.17093451410163502, 0.20106389496014188, 0.09869387887081373)"
tb.1.3255b4ec.SQmyPbZkO6QZuJ8mn90o4g,"(0.02542063322008119, 3.2698962256911988e-06, 0.06959468865579874, 0.7798723350201247, 1.2128044084834297e-05, 0.12509694516368494)"
tb.1.326e6f3e.VkXGa3kb-P9RcRYthHGEYA,"(0.08126745133601856, 0.049145838879117304, 0.39293745992028845, 0.21962113998616206, 0.07622644461179788, 0.1808016652666158)"
tb.1.332c8d9e.u3T2u_1CfdeOyMQ-FzlFxA,"(0.4425900833252457, 0.1884211385392589, 0.055273789741511134, 0.11987340964516152, 0.02403087275068095, 0.1698107059981418)"
tb.1.33a7fce9.vB_a6hHK_SDo1Oewflg08A,"(0.18423773022967074, 0.10293838699192037, 0.06998231366229651, 0.19561943792406472, 0.28261729750494846, 0.16460483368709922)"
tb.1.33f04bd0.4hC4FbKVO9Vouc0rENIjGQ,"(0.0770397784845803, 0.16946891713617943, 0.15918350324836142, 0.18703290372575845, 0.38479632363533245, 0.0224785737697881)"
tb.1.359b94d2.NYj8oetT7wDbLXe8dYP9ZA,"(0.32273487541755247, 0.024617689739041323, 0.13070583522371831, 0.2951459983299002, 0.1540888604287492, 0.07270674086103833)"
tb.1.368f3a45.yAmfgD7Hmt66coP66t-RwA,"(0.35949482001750577, 0.027749760932387773, 0.16669042301359535, 0.21072529520998293, 0.11358591493534068, 0.12175378589118747)"
tb.1.3749ccc6.NX_gBA9YFKEiKjShlJv9lA,"(0.2671054184691103, 0.006815347730487755, 3.99971023716209e-05, 0.2657117105056328, 0.4404973149953343, 0.019830211197063182)"
tb.1.380959ee.FFxCEcVfQ90_4o1eLnObvA,"(0.06738578888360867, 0.043010601419492395, 5.199436238767485e-09, 0.6932429554702223, 0.051525178449145996, 0.1448354705780943)"
tb.1.38d5acf4.VXTZdtwZUKbIuUpvKSWsYQ,"(0.08082812477770943, 1.3828832390232053e-05, 0.08351593797311069, 0.8354213902604561, 0.0001342436179931452, 8.647453834034101e-05)"
tb.1.395dfdab.-el5OqGYdXIVsND-SsMfVg,"(0.6148511510300614, 0.01863047460604466, 0.007708417474072668, 0.20693723000160716, 0.036545516372709724, 0.11532721051550446)"
tb.1.396c55d6.e62w-mzp_W5wEqMDTtZPmA,"(0.13619116794619807, 0.0760454887928498, 0.29324693124094137, 0.06554821300637295, 0.02781136645617335, 0.4011568325574645)"
tb.1.3a620113.by3VIsCLK7N66a3yqAGmNw,"(0.35338558504904016, 0.06614583490715739, 0.2086640081084213, 0.22249521349410128, 0.11914547958559521, 0.030163878855684598)"
tb.1.3a99277d.fEpu2YiazAlhDuqWrWXgFQ,"(0.10471309428071052, 0.017642444919794262, 0.4028980258697225, 0.15156379692552321, 0.2941751018842622, 0.029007536119987222)"
tb.1.3aacc092.xHc7Cm6nxOJSyx0LRo9-0A,"(1.591653154402748e-05, 1.0382805256581327e-05, 0.08767287092395627, 0.19565640832043174, 0.7165808257232456, 6.359569556578485e-05)"
tb.1.3b669eef.Ix9YbIn7Nb6OkQQ2w07e2A,"(0.8913585705092686, 0.0005875406382457323, 0.003432434117897749, 0.09010624197322388, 0.013380568725460678, 0.0011346440359032018)"
tb.1.3bab6747.vMDt-XVf7S2WZXfJK1Me7A,"(0.00015916850803309043, 0.9802175145886772, 0.018608506103347907, 0.00019129548324923047, 0.0001875383621140433, 0.0006359769545783467)"
tb.1.3bc86578.KyeOGG4c6whOer5tf1FkgA,"(0.514094549273154, 0.008002823855886097, 0.20391514866172245, 0.024775165190489563, 0.22479955276246552, 0.024412760256282307)"
tb.1.3c214c1a.YRR--wvhCv96Cp9rBQFr8Q,"(0.03868599746497136, 0.4484385190338876, 0.04418833735740889, 0.00946467829333075, 0.265527779561849, 0.19369468828855244)"
tb.1.3c9ca79e.gjcK4Gr5CzfUpcA4Oxe58A,"(0.3477033608165577, 0.013460672711303159, 0.33155471270359504, 0.2737691054263287, 0.021068030582102604, 0.012444117760112935)"
tb.1.3d3b474f.kV4BJ2IFbINsoTIjScEHSQ,"(0.9996094412491217, 0.00015633997751559665, 0.0001276926839187395, 0.00010644084119982263, 3.811465004657101e-08, 4.713359402313756e-08)"
tb.1.3e4107c4.Y2xtPv56TpaP4DukZnAApw,"(0.003253953233118174, 0.03516361552041833, 0.08335622730383055, 0.793794414181034, 0.0218290426896083, 0.06260274707199068)"
tb.1.3e7120d6.80zI7BIq_TBznXVWM26vwg,"(0.038766644039976, 0.1604123632206933, 0.015917921341404847, 0.1562041735135833, 0.3124196766719757, 0.316279221212367)"
tb.1.3e9883f6.k4pJQCKwBJ0AH9eE36ZTiA,"(0.06536473230334218, 0.03175910664036568, 0.10654891098257026, 0.39258475714099195, 0.34239781447411366, 0.06134467845861625)"
tb.1.3f205bb8.qFF_vZwZcBXj7Lg6t5RncQ,"(0.025384881252887157, 0.009784720517945275, 0.02627257757499482, 0.11589792933111569, 0.7118238206472489, 0.11083607067580797)"
tb.1.3fbe0ae.9MjCWOXdUaZwg5ps77urYA,"(0.1052320427109964, 0.003589041240721953, 0.38663128226808735, 0.12133870822325855, 4.870097516449051e-05, 0.3831602245817712)"
tb.1.403cd79b.KxxaGkriTX6osg1f8mhwFQ,"(0.05545657710889876, 0.05919049072282518, 0.03564248632736748, 0.3030579821395981, 0.21882239963023256, 0.32783006407107784)"
tb.1.40a9c3dd.J6iY381bky4IOG6UuhkEfw,"(0.11533474808697945, 0.1821868218144495, 0.07603120074325112, 0.4052485113337603, 0.20932202193365262, 0.011876696087907005)"
tb.1.40be78cd.i6BXJqoQ1pKKu5E_bN5F-w,"(0.30384908772717156, 0.12868703085071256, 0.16999587450175024, 0.20608501068892587, 0.17239489765803886, 0.01898809857340095)"
tb.1.41301e02.NnKqQcp1mNoL3b7JsAII1g,"(0.10030272827220026, 0.030158053278283987, 0.2066032554059746, 0.022559126699271025, 0.013550920139695891, 0.6268259162045743)"
tb.1.4152fd9.zUBk5oyGusLJpBCFyA8N3w,"(0.06661258472290171, 0.04950153861447377, 0.37196883174979456, 0.06927046202219471, 0.013618336989488177, 0.42902824590114697)"
tb.1.4198b2e6.6Otjgj8D-uD7EezolDVnPg,"(0.31868902011475125, 0.020792218932035332, 0.15434627021650654, 0.27559141933494363, 0.1283783885538369, 0.10220268284792637)"
tb.1.419fc31e.IN629fPUpcpWLQ5mmVJGWA,"(0.11069691690432176, 0.016988393301606612, 0.011078322747797338, 0.16212475073336502, 0.5668107270934545, 0.13230088921945482)"
tb.1.4248a8e1.P_LDc8OAj7H2W1YElGb1-A,"(8.435915342667452e-05, 9.714462697323371e-05, 9.469803009535413e-05, 0.00018674553394895684, 0.00020043766124313355, 0.9993366149943126)"
tb.1.42b8d1f6.4gInKr-_JUY6wq3NXHM7EA,"(0.114554747224043, 0.12910564924076137, 0.23086514057237525, 0.3174530664197661, 0.15403866767916471, 0.053982728863889606)"
tb.1.43b7a67b.oQNh60jmUTANe0PfqtYxJQ,"(0.1353182853738496, 0.07578515790432958, 0.18764954425812308, 0.3263353152603741, 0.23121526158055014, 0.043696435622773616)"
tb.1.43dd1919.elY5_Kq7peNA0twBYIPrYQ,"(0.00018211640300231068, 0.000266996842661511, 0.00023714468208780508, 0.9990938724901148, 0.0001258851091865473, 9.398447294701078e-05)"
tb.1.442a421c.knTwt80QOk_krUC2iRO--w,"(0.1922203450889056, 0.12534056127076332, 0.3345096119297292, 0.039973071651801216, 0.30795149482310497, 4.915235695780306e-06)"
tb.1.4449bb43.3AWvqyml-VbPKy7WTsrK0A,"(0.3603379952543924, 0.06660979604945076, 0.0852894651791845, 0.22991389559307213, 0.21483952987443328, 0.0430093180494669)"
tb.1.446757ec.AgPQ03Fuk8eNzHU0vNa9bg,"(0.04040172841826155, 0.0054074981030647305, 0.6704867382406422, 0.26292411325119763, 0.017271391140235678, 0.003508530846598197)"
tb.1.459c2ae7.PJCxr6cLOLiTXRZjdM8aGA,"(0.2023632300688235, 0.03006497580122615, 0.09125600167323863, 0.1605995545924496, 0.4545041386450336, 0.06121209921922846)"
tb.1.460da379.dPU9N50uDUD6Ki9TPNTKDw,"(0.1892137497613236, 0.03766427928387677, 0.21119384653705492, 0.14951271261458537, 0.33789055500501725, 0.07452485679814207)"
tb.1.467cf3cb.ZfpG2sKy_heKn3eQqHSy5A,"(0.21035768791084378, 0.03138504405171387, 0.011218778238930143, 0.5783580749738059, 0.023148530433170347, 0.14553188439153605)"
tb.1.468916a3.5z52FEhPqASOwU8mbB6F1g,"(0.0007803313305219567, 0.006795150951830569, 0.34786662572386867, 0.6373880237687748, 0.007168957681425612, 9.105435782186076e-07)"
tb.1.46faf4be.GsJbH1zQH96SBlDISccJ5Q,"(0.2513166692720234, 0.016709457672010836, 0.4869256608583808, 0.18884207862446145, 0.034327372545373006, 0.021878761027750555)"
tb.1.4773b1e8.Oa5aRCH8nBuWEnQ522QFbA,"(0.1770895715925177, 0.04625172194930515, 0.25188456091217004, 0.2246118215456268, 0.11303485957187999, 0.18712746442850034)"
tb.1.48db5f.qhl_qXsqdF0nz65-upMyBw,"(0.3544058719708175, 0.02036252097240383, 0.04510253420278986, 0.05527226976265346, 0.1242921739269194, 0.4005646291644159)"
tb.1.49c6c501.wjyxCScXDmN9R4CUZNhnNw,"(0.034058390066885796, 0.18009169683839882, 0.6245006716785999, 0.12143942945290823, 0.03352561987625131, 0.006384192086955818)"
tb.1.4af62980.tHZl4OgU5beNmjAOLB-lqQ,"(0.045690646191482526, 0.2205590168982916, 0.644486592666261, 0.03019312977388637, 0.0407791370432063, 0.01829147742687222)"
tb.1.4b102447.PqxNsTr4ytAGzvxfWAzXhw,"(1.2984299982394462e-09, 4.3362876747482194e-05, 0.6510233522298308, 0.3488785877506875, 5.469379479675646e-05, 2.0495078068585763e-09)"
tb.1.4c134c8d.OTTcVzBiT-2EygMqUN0LNA,"(0.00013372008835027234, 9.40432928667456e-08, 0.9996929865905011, 7.387188281850363e-08, 9.486995643191766e-05, 7.825544954098544e-05)"
tb.1.4c971e32.6jFYy7F7EWFETLYbrqsBjw,"(0.08950901005736794, 0.07865210377983219, 0.3176064504968613, 0.2888667004224146, 0.1674916204018529, 0.057874114841671154)"
tb.1.4d077a6d.AoIE-mP22rql8WNg0HE_Vw,"(0.7949642036509501, 0.015062261092330251, 0.02297884802850972, 0.06706133432841502, 0.08735019406078676, 0.012583158839008127)"
tb.1.4e160369.U1mhWh8NJaX_s-w0lxa1qw,"(2.3966401795896367e-08, 0.9642929064847408, 2.6007491569031205e-08, 0.035690607021113534, 1.639869046734083e-05, 3.782978493226464e-08)"
tb.1.4e566e78.C-RRaPyXesN2GRVxVG9P1g,"(0.14049342529920147, 0.29907762466314897, 0.15212776853542007, 0.1718513238581103, 0.0923722405064833, 0.14407761713763587)"
tb.1.4e9b137f.7Qd5SRhqozy5puuh6nf_jA,"(0.1732766055146866, 0.18551719552171486, 0.5627737669144773, 0.07242741659058208, 0.0058599413885342885, 0.0001450740700047905)"
tb.1.4efaee32.-d6klcfuFFeq09WNg1dqUg,"(0.06368040030992032, 0.1737223742182597, 0.16153330239406322, 0.23539922334802799, 0.3451620646486831, 0.020502635081045495)"
tb.1.50c94552.VE5zDbNsTyGEjVoopPLfJw,"(0.19254633427630222, 0.12776740496593514, 0.19850739151266927, 0.20789886246408137, 0.2038219379408849, 0.06945806884012705)"
tb.1.50e0a6a3.7nF9Np2C4jOD_vUJ9WVXyA,"(0.03292691950631431, 0.005803384744849781, 0.7688034786792832, 0.1749926198295796, 0.015515010983239055, 0.001958586256733911)"
tb.1.50e544ad.sNCdEDMVB73Zo6LozFu05w,"(0.1716032630832528, 0.23385087032359317, 0.04966374154530684, 0.21734542642392368, 0.3174475432833469, 0.010089155340576807)"
tb.1.513d0cc0.0Eq8MOhA-7rPRvET12XUHw,"(0.28491951237225044, 3.7380363448411434e-05, 4.1043091940197985e-06, 3.274628376510882e-05, 0.7150061911108752, 6.556046682202849e-08)"
tb.1.5148a871.f4C5gH1kZ4khf2BUZQQ6Dg,"(0.3237924964974117, 0.15638106240071942, 0.06949275256587742, 0.3303892250994681, 0.09657780648271894, 0.023366656953804448)"
tb.1.51840ab8.7QHaqZGX8LHFCYPtuhfUnw,"(5.528601272888616e-05, 0.02449438357114052, 0.8168943719970002, 0.08636411051944459, 6.415354746066306e-05, 0.07212769435222506)"
tb.1.525cad64.FJR493YM2__jTe1CA3x4uw,"(0.23916635285958987, 0.11313762803246864, 0.022341716741521984, 0.5110632588172911, 0.07698022935383517, 0.037310814195293314)"
tb.1.52788d22.mQ2Zg7KA36X98LZt39xfrw,"(0.15498533071731083, 0.2536758717272743, 0.045559017128126024, 0.01913129072730693, 0.5228840873558217, 0.003764402344160182)"
tb.1.538b0aa8.NDR8n3LjX8DLnr8mPbdxWg,"(0.012595106511773372, 0.5514297326550455, 0.033225583147366816, 0.00952998530176898, 0.040277653688792665, 0.35294193869525275)"
tb.1.545aa22d.Xd-VPPy6E4grY9w3J_pesA,"(0.13850714407264128, 0.19574204807405984, 0.43788436701775535, 0.06616598820710791, 0.005419360457854754, 0.1562810921705809)"
tb.1.566ac2d7.iuBRT_m4G3OMmaeVPogy3w,"(0.15417973996001677, 0.16226609546635304, 0.27431554187484675, 0.13639531309449068, 0.264637939047671, 0.008205370556621629)"
tb.1.56bf6e7c.9IYpGtXzVustEYUrpd9_Ow,"(0.767851980412938, 0.04185995247099897, 0.055312811119324845, 0.10484608947014568, 5.01749323877933e-05, 0.030078991594204733)"
tb.1.56daa51b.6yYklVRWkMWCJbGaGGllXA,"(0.14993196302236536, 0.019970104838587743, 0.09964469088173179, 0.11768293026570827, 0.286605267428762, 0.3261650435628449)"
tb.1.577a9e7b.O7Ua3ZtAX-iTqEK7GVB6SQ,"(0.04374729263911335, 1.8640388968982577e-05, 0.6557132332196745, 0.0327053997439974, 0.25365529092488515, 0.01416014308336071)"
tb.1.57c48858.bSO7zhronXxXqzoKlGD1OA,"(0.11995664490921545, 0.0031452435757345462, 0.03865464742023553, 0.4180405118201812, 0.008818594711799835, 0.4113843575628335)"
tb.1.5868ac00.EcDg6oME4v8FtvRKGH-Mew,"(0.5366246314315439, 1.290749398709973e-05, 8.399002339736593e-05, 0.15587973428718588, 4.643531668386e-05, 0.3073523014472017)"
tb.1.596518d3.xYyzDc7koOxKbVYOUBVkXg,"(0.0665950815178205, 0.7132865462267284, 0.09024762839667584, 0.1297339594010367, 3.1169671355144694e-05, 0.0001056147863835755)"
tb.1.5b77b030.s7u47dF3-ExfnJbK85kBgg,"(7.920764496898001e-09, 6.109736553133253e-05, 8.595333485088637e-09, 0.9999007756945668, 3.8097921267114155e-05, 1.2502536674824277e-08)"
tb.1.5b81df34.MjrxlCbRpMooGZazVE0OFQ,"(0.07636008385383614, 0.18800058752903642, 0.0897495299803629, 0.1713418696952321, 0.37473109177474584, 0.09981683716678649)"
tb.1.5bbd0588.0hIpR8y1yrb7Lj_IxJ407g,"(0.17614108905916387, 0.22283806703906056, 0.16596192710569782, 0.3146856432950085, 0.09855194178363742, 0.02182133171743197)"
tb.1.5c17552e.Iv9AQtRsstJxJMuOwgt0ng,"(0.13642961154105182, 0.0002597147682097933, 0.31252655072238, 0.13960178400144746, 0.06477286811158132, 0.3464094708553295)"
tb.1.5c415646.X6qfwAyyZ3W2PXytJJCpKA,"(0.013508634467303174, 0.16332362442936907, 0.5299532053294358, 0.1957874661238897, 0.08968152860667553, 0.007745541043326614)"
tb.1.5c43725e._UwVxKmhBae41ErbR-VIIg,"(0.029503223220183443, 0.21005213580732945, 0.6892362363335323, 0.03225235475326059, 0.038942986411463584, 1.3063474230670314e-05)"
tb.1.5da9d684.k14GKRkAJ2SDtwMEUAPY7A,"(0.02945357360763712, 0.1503745970580921, 0.0067292604573748185, 0.02084073255107214, 0.026520772861226283, 0.7660810634645976)"
tb.1.5f3d8665.qslBNCaG2TpjFe2LJ03YFQ,"(0.25633092691487136, 0.0035508835155366827, 0.3155203643397415, 0.3312559151541591, 0.09045098310382133, 0.0028909269718699403)"
tb.1.600a5594.E47AS8dv3uQdxEoab95o7A,"(4.821253292883181e-08, 5.551962456424028e-08, 0.0002472720780713883, 0.999551170164724, 0.0002013779239381941, 7.610110884687439e-08)"
tb.1.605d9238.9ZJQeTIXmTx5v0tezh0kHg,"(0.12054358692481205, 0.2920650901775708, 0.11175505818490604, 0.22309030812953945, 0.2130913272146311, 0.03945462936854055)"
tb.1.60ab2f33.50qZp_haJZrHXisb-s05Bg,"(0.11570272450893065, 0.01292222723209767, 0.043687280608232786, 0.23528131610282438, 0.5479992782955386, 0.04440717325237583)"
tb.1.60afe7d8.dfxQM3OMjF5HFSWyTP30cw,"(0.0986304923430957, 0.2905155175811436, 0.24064600114691198, 0.3701922482032965, 1.3118699773605358e-05, 2.6220257786648444e-06)"
tb.1.60d17db0.o34newkrXrsxbDk0gRJh9w,"(0.14016980064845938, 0.06879147495089605, 0.1469417323193973, 0.3645268039139774, 0.2699547788176492, 0.009615409349620636)"
tb.1.60e44bbc.jttfBUQteUCApLDgJqy3LA,"(0.18947084228459593, 0.2726338173467013, 0.10529177381807457, 0.2656174555116252, 0.11880293079476979, 0.04818318024423318)"
tb.1.612dbe36.2UzDRldTWSB3EI8tVxiIng,"(0.013497506252041604, 2.3778093418652097e-06, 0.22060274410148834, 0.5186198392464939, 0.1574452889008924, 0.08983224368974187)"
tb.1.614fea95.mwFzLaS4lkZTCITEYP6Qvg,"(0.02176435994605366, 0.035641703132712435, 0.025929399609790446, 0.8955652475325147, 0.02105710777153797, 4.2182007390699215e-05)"
tb.1.617e79a6.o8oqyKtJjcTfwMrGfLS48g,"(0.2320984094327223, 0.01940780779688453, 0.13426394343687575, 0.1303197918887548, 0.2226891858196442, 0.2612208616251184)"
tb.1.621d4cba.m8RbffOOmpxpMAuw4N1D1A,"(0.3468973010142945, 0.12836765477833953, 0.1767479298169394, 0.18135764818676745, 0.08782703518621132, 0.07880243101744777)"
tb.1.627bb978.z53_DfCN7W8ukUtacWgLsg,"(0.14478290065470165, 0.029048001471236935, 0.015551550333129797, 0.13073293341436848, 0.055373966590806616, 0.6245106475357567)"
tb.1.62c1d0cd.k3yC9RvxbZwgUu7pmeN4VQ,"(0.02292376612866192, 0.007484054833404292, 0.015757420453049672, 0.7303665069978824, 0.006559084354088198, 0.21690916723291342)"
tb.1.62c31296.UvLmIk5XSueyP-sOuqjCuw,"(0.1779826148564575, 0.11194059123291047, 0.11070412642911034, 0.21884799318846523, 0.08320849562491656, 0.29731617866814003)"
tb.1.632c0523.mfJQauUekbjecHMb3Zf-Pw,"(0.03092287007984691, 0.02043071507170133, 0.029798374234560027, 0.11738315230491413, 0.6365715500168468, 0.16489333829213063)"
